"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"0203","Meat of swine, fresh, chilled or frozen","302","Denmark","959,619,160",
"0203","Meat of swine, fresh, chilled or frozen","303","United Kingdom","252,457,590",
"0203","Meat of swine, fresh, chilled or frozen","304","Germany","7,055,511",
"0203","Meat of swine, fresh, chilled or frozen","305","France","454,960,966",
"0203","Meat of swine, fresh, chilled or frozen","306","Ireland","185,988,455",
"0203","Meat of swine, fresh, chilled or frozen","307","Italy","89,856,900",
"0203","Meat of swine, fresh, chilled or frozen","309","Netherlands","769,871,002",
"0203","Meat of swine, fresh, chilled or frozen","311","Portugal","63,535,390",
"0203","Meat of swine, fresh, chilled or frozen","312","Spain","3,131,143,632",
"0203","Meat of swine, fresh, chilled or frozen","315","Austria","123,718,275",
"0203","Meat of swine, fresh, chilled or frozen","318","Finland","50,220,970",
"0203","Meat of swine, fresh, chilled or frozen","331","Switzerland","3,481,577",
"0203","Meat of swine, fresh, chilled or frozen","402","Argentina","54,280,837",
"0203","Meat of swine, fresh, chilled or frozen","410","Brazil","1,655,381,911",
"0203","Meat of swine, fresh, chilled or frozen","412","Chile","371,840,602",
"0203","Meat of swine, fresh, chilled or frozen","415","Costa Rica","424,258",
"0203","Meat of swine, fresh, chilled or frozen","429","Mexico","181,116,765",
"0203","Meat of swine, fresh, chilled or frozen","501","Canada","608,929,219",
"0203","Meat of swine, fresh, chilled or frozen","502","United States","921,030,930",
