Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"Korea, South",1,203294000,"SWN MT, FRZ","356,510","276,723","374,783","535,624","461,657","347,770","413,250","474,554","520,343","624,501",20,US,KS,203294000,
"Korea, South",2,203292000,"SWN MT,NE,PRC,FZ","32,996","21,084","28,163","24,916","29,832","16,341","11,058","14,321","14,720","11,733",-20,US,KS,203292000,
"Korea, South",3,203229000,"HM/SH,X PRC,FRZ","14,011","6,487","3,580","8,096","6,542","7,151","19,095","9,967","3,965","4,262",7,US,KS,203229000,
"Korea, South",4,203210000,"SWN CARC,FZ",197,0,11,13,547,6,355,759,526,238,-55,US,KS,203210000,
"Korea, South",5,203221000,"HM,SH,PRC,FZ",110,991,850,"6,121","3,656","1,458",571,198,231,26,-89,US,KS,203221000,
Japan,1,203294000,"SWN MT, FRZ","466,334","405,845","428,830","415,640","358,034","389,136","374,735","296,798","428,314","496,361",16,US,JA,203294000,
Japan,2,203292000,"SWN MT,NE,PRC,FZ","109,444","74,591","73,453","101,423","106,300","91,144","56,227","28,623","23,370","39,171",68,US,JA,203292000,
Japan,3,203229000,"HM/SH,X PRC,FRZ","4,007","1,931","1,791",627,789,"1,737","1,831","2,760","3,212",289,-91,US,JA,203229000,
Japan,4,203210000,"SWN CARC,FZ","1,392",68,3,30,15,0,249,0,0,12,,US,JA,203210000,
Japan,5,203221000,"HM,SH,PRC,FZ",262,289,317,49,20,293,430,776,38,8,-79,US,JA,203221000,
China,1,203294000,"SWN MT, FRZ","49,375","159,582","161,358","182,066","312,581","882,320","543,920","441,155","330,941","309,480",-6,US,CH,203294000,
China,2,203210000,"SWN CARC,FZ","9,036","7,493","1,270",245,"447,733","400,665","50,039","40,878","29,922","25,051",-16,US,CH,203210000,
China,3,203229000,"HM/SH,X PRC,FRZ","50,311","105,228","69,428","14,684","86,056","320,686","234,105","14,159","11,030","6,389",-42,US,CH,203229000,
China,4,203292000,"SWN MT,NE,PRC,FZ","63,072","57,161","4,677","1,755","3,112","41,489","55,673","25,065","11,908","1,120",-91,US,CH,203292000,
China,5,203221000,"HM,SH,PRC,FZ",423,192,26,72,309,226,177,197,79,216,174,US,CH,203221000,
Colombia,1,203294000,"SWN MT, FRZ","40,673","47,555","96,798","148,229","149,406","101,731","173,596","167,132","189,805","263,196",39,US,CO,203294000,
Colombia,2,203292000,"SWN MT,NE,PRC,FZ","22,844","19,450","29,931","37,833","24,759","14,188","40,410","26,363","32,250","30,540",-5,US,CO,203292000,
Colombia,3,203229000,"HM/SH,X PRC,FRZ","9,067","13,462","11,987","7,839","13,866","10,273","20,663","28,105","18,641","27,742",49,US,CO,203229000,
Colombia,4,203221000,"HM,SH,PRC,FZ",378,428,"2,990",645,"1,210",784,"2,493","1,451","4,443","6,533",47,US,CO,203221000,
Colombia,5,203210000,"SWN CARC,FZ",199,456,293,128,0,139,441,103,190,397,109,US,CO,203210000,
Australia(*),1,203294000,"SWN MT, FRZ","116,539","107,718","122,691","125,144","179,174","144,889","127,382","85,834","160,199","224,137",40,US,AS,203294000,
Australia(*),2,203292000,"SWN MT,NE,PRC,FZ","20,302","35,733","49,938","58,117","80,895","74,941","39,915","14,919","56,011","65,098",16,US,AS,203292000,
Australia(*),3,203229000,"HM/SH,X PRC,FRZ",267,55,146,42,"1,015",642,"1,973",603,150,"2,110","1,307",US,AS,203229000,
Australia(*),4,203210000,"SWN CARC,FZ",0,0,0,0,8,82,0,3,0,0,,US,AS,203210000,
Australia(*),5,203221000,"HM,SH,PRC,FZ",16,9,0,47,166,343,64,0,0,0,,US,AS,203221000,
Dominican Republic,1,203294000,"SWN MT, FRZ","28,688","33,530","42,128","47,400","37,832","67,174","102,340","151,583","164,203","157,109",-4,US,DR,203294000,
Dominican Republic,2,203229000,"HM/SH,X PRC,FRZ","10,052","11,281","13,399","14,462","11,258","8,469","13,265","30,283","39,253","47,077",20,US,DR,203229000,
Dominican Republic,3,203292000,"SWN MT,NE,PRC,FZ","6,120","1,437","2,769","10,311","13,342","6,105","20,809","25,344","31,012","31,195",1,US,DR,203292000,
Dominican Republic,4,203221000,"HM,SH,PRC,FZ",494,261,"1,128",630,691,3,34,"5,239","6,077","7,306",20,US,DR,203221000,
Dominican Republic,5,203210000,"SWN CARC,FZ",73,162,361,176,100,43,259,475,98,235,139,US,DR,203210000,
Mexico,1,203294000,"SWN MT, FRZ","97,551","94,346","86,483","66,567","67,855","68,558","79,633","87,375","98,215","111,077",13,US,MX,203294000,
Mexico,2,203292000,"SWN MT,NE,PRC,FZ","22,936","26,660","24,117","20,511","17,275","19,379","50,495","52,879","72,901","86,355",18,US,MX,203292000,
Mexico,3,203221000,"HM,SH,PRC,FZ","7,885","6,433","5,908","3,428","3,125","2,597","5,714","8,741","10,450","7,780",-26,US,MX,203221000,
Mexico,4,203229000,"HM/SH,X PRC,FRZ","55,266","43,661","41,182","41,330","43,214","36,729","5,323","3,895","2,842","3,416",20,US,MX,203229000,
Mexico,5,203210000,"SWN CARC,FZ",505,"4,487","1,207",238,249,497,"1,105",781,"2,015",270,-87,US,MX,203210000,
Honduras,1,203294000,"SWN MT, FRZ","30,517","32,507","29,731","43,854","49,478","50,834","73,385","69,514","90,028","99,945",11,US,HO,203294000,
Honduras,2,203292000,"SWN MT,NE,PRC,FZ","2,709","8,931","12,021","3,020","4,630","13,337","20,222","18,515","17,892","29,502",65,US,HO,203292000,
Honduras,3,203229000,"HM/SH,X PRC,FRZ","4,860","2,231","8,715","5,412","6,459","5,525","14,171","9,720","6,325","3,637",-42,US,HO,203229000,
Honduras,4,203221000,"HM,SH,PRC,FZ","1,824",530,252,293,640,94,87,983,"3,345","2,753",-18,US,HO,203221000,
Honduras,5,203210000,"SWN CARC,FZ",8,152,0,0,18,4,54,0,5,0,,US,HO,203210000,
Guatemala,1,203294000,"SWN MT, FRZ","17,152","17,020","18,841","19,447","21,766","21,111","40,092","33,278","53,576","61,029",14,US,GT,203294000,
Guatemala,2,203292000,"SWN MT,NE,PRC,FZ","1,798","3,034","4,368","4,676","8,218","6,097","8,313","8,011","9,102","8,917",-2,US,GT,203292000,
Guatemala,3,203229000,"HM/SH,X PRC,FRZ","3,090","4,817","4,006","4,328","3,035","3,840","10,494","5,378","5,759","4,821",-16,US,GT,203229000,
Guatemala,4,203221000,"HM,SH,PRC,FZ",497,148,384,"1,084",661,462,"2,574",920,"1,182","1,928",63,US,GT,203221000,
Guatemala,5,203210000,"SWN CARC,FZ",82,113,93,89,99,0,70,73,74,37,-50,US,GT,203210000,
Nicaragua,1,203294000,"SWN MT, FRZ","5,299","8,598","9,780","13,050","15,233","19,837","23,520","22,417","34,192","42,922",26,US,NU,203294000,
Nicaragua,2,203292000,"SWN MT,NE,PRC,FZ",861,917,"1,911",933,"2,188","2,830","3,636","3,421","2,784","11,539",315,US,NU,203292000,
Nicaragua,3,203229000,"HM/SH,X PRC,FRZ",304,352,"1,383",700,774,"1,075","3,735","1,209","2,350","2,190",-7,US,NU,203229000,
Nicaragua,4,203221000,"HM,SH,PRC,FZ",46,27,16,87,88,42,153,51,164,"1,295",689,US,NU,203221000,
Nicaragua,5,203210000,"SWN CARC,FZ",0,0,67,0,0,0,3,40,0,0,,US,NU,203210000,
Costa Rica,1,203294000,"SWN MT, FRZ","4,082","5,845","7,064","8,647","12,572","12,701","25,451","17,938","28,504","41,168",44,US,CS,203294000,
Costa Rica,2,203292000,"SWN MT,NE,PRC,FZ",694,"1,407","1,935","1,685","2,212","2,701","5,122","4,584","2,907","10,586",264,US,CS,203292000,
Costa Rica,3,203221000,"HM,SH,PRC,FZ","1,154",482,86,122,289,0,196,0,369,"3,887",952,US,CS,203221000,
Costa Rica,4,203229000,"HM/SH,X PRC,FRZ","1,672","1,530",829,"1,129",623,850,"1,620",656,693,632,-9,US,CS,203229000,
Costa Rica,5,203210000,"SWN CARC,FZ",0,36,0,8,0,0,420,628,76,112,47,US,CS,203210000,
El Salvador,1,203294000,"SWN MT, FRZ","4,175","5,851","8,566","10,794","11,044","12,341","28,020","25,648","33,378","40,498",21,US,ES,203294000,
El Salvador,2,203292000,"SWN MT,NE,PRC,FZ","1,033",824,925,"2,100","1,844","1,756","2,440","2,374","4,311","8,432",96,US,ES,203292000,
El Salvador,3,203221000,"HM,SH,PRC,FZ",481,269,719,466,678,381,860,539,630,"1,470",133,US,ES,203221000,
El Salvador,4,203229000,"HM/SH,X PRC,FRZ",927,"1,405","1,448","1,875","1,785",721,"2,258","4,712","1,707",998,-42,US,ES,203229000,
El Salvador,5,203210000,"SWN CARC,FZ",0,159,18,23,98,187,239,63,31,6,-82,US,ES,203210000,
Philippines,1,203294000,"SWN MT, FRZ","21,234","23,555","32,078","32,066","37,071","39,852","101,377","27,693","48,569","37,190",-23,US,RP,203294000,
Philippines,2,203292000,"SWN MT,NE,PRC,FZ","4,545","5,202","4,860","6,714","2,202",956,"5,556","2,695","3,071","2,742",-11,US,RP,203292000,
Philippines,3,203229000,"HM/SH,X PRC,FRZ","1,502",440,"1,997","3,567","1,071","9,379","19,516","2,428","2,757","1,311",-52,US,RP,203229000,
Philippines,4,203210000,"SWN CARC,FZ",0,0,0,0,396,775,"1,219",34,"1,193",507,-58,US,RP,203210000,
Philippines,5,203221000,"HM,SH,PRC,FZ",101,140,206,31,39,85,223,27,185,0,,US,RP,203221000,
Panama,1,203294000,"SWN MT, FRZ","9,913","12,705","11,421","13,622","18,805","14,357","21,068","22,352","18,923","27,380",45,US,PM,203294000,
Panama,2,203229000,"HM/SH,X PRC,FRZ","2,168","2,602",976,"2,006","1,752","4,063","7,998","1,583",529,"5,472",935,US,PM,203229000,
Panama,3,203292000,"SWN MT,NE,PRC,FZ","1,191","1,294","2,070","3,507","3,145","2,444","1,019",577,"3,588","4,680",30,US,PM,203292000,
Panama,4,203221000,"HM,SH,PRC,FZ",563,308,272,610,397,270,557,85,291,"2,484",754,US,PM,203221000,
Panama,5,203210000,"SWN CARC,FZ","1,024",30,9,102,217,514,176,0,0,90,,US,PM,203210000,
New Zealand(*),1,203294000,"SWN MT, FRZ","10,774","6,780","7,197","10,295","11,147","21,674","19,274","11,654","23,171","32,635",41,US,NZ,203294000,
New Zealand(*),2,203292000,"SWN MT,NE,PRC,FZ",271,"3,125","4,065","4,197","9,372","5,922","10,047",955,"3,372","4,356",29,US,NZ,203292000,
New Zealand(*),3,203229000,"HM/SH,X PRC,FRZ",276,868,632,458,934,634,153,0,8,174,"2,033",US,NZ,203229000,
New Zealand(*),4,203221000,"HM,SH,PRC,FZ",0,104,193,187,139,119,267,133,208,97,-53,US,NZ,203221000,
New Zealand(*),5,203210000,"SWN CARC,FZ",0,0,0,0,0,22,0,0,0,0,,US,NZ,203210000,
Chile,1,203294000,"SWN MT, FRZ","19,996","31,519","48,837","50,644","76,650","84,910","65,730","28,696","32,204","26,385",-18,US,CI,203294000,
Chile,2,203229000,"HM/SH,X PRC,FRZ","5,421","4,415","4,416","3,405","3,301","5,989","1,604",876,"2,154","1,868",-13,US,CI,203229000,
Chile,3,203292000,"SWN MT,NE,PRC,FZ","4,387","4,774","9,025","10,720","2,904","6,440","5,094",875,"3,498","1,376",-61,US,CI,203292000,
Chile,4,203221000,"HM,SH,PRC,FZ",114,152,370,133,205,64,0,0,71,"1,222","1,621",US,CI,203221000,
Chile,5,203210000,"SWN CARC,FZ",0,0,61,58,292,770,206,3,4,0,,US,CI,203210000,
Canada,1,203294000,"SWN MT, FRZ","25,748","24,700","27,710","28,957","34,433","46,435","46,044","36,089","36,323","24,998",-31,US,CA,203294000,
Canada,2,203292000,"SWN MT,NE,PRC,FZ","5,947","6,163","5,312","4,739","9,502","8,910","2,433","5,284","6,677","5,254",-21,US,CA,203292000,
Canada,3,203229000,"HM/SH,X PRC,FRZ",87,13,52,173,360,"1,420",723,500,"1,512",274,-82,US,CA,203229000,
Canada,4,203210000,"SWN CARC,FZ",13,0,0,0,0,0,0,0,0,34,,US,CA,203210000,
Hong Kong,1,203292000,"SWN MT,NE,PRC,FZ","35,382","20,119","9,004","9,489","8,194","10,452","8,517","9,396","12,251","12,000",-2,US,HK,203292000,
Hong Kong,2,203294000,"SWN MT, FRZ","48,775","53,709","65,097","27,255","28,793","32,294","16,722","13,572","11,542","11,674",1,US,HK,203294000,
Hong Kong,3,203229000,"HM/SH,X PRC,FRZ","11,123","16,544","11,494","7,261","4,186","2,041","3,424","1,984","1,581","2,057",30,US,HK,203229000,
Hong Kong,4,203221000,"HM,SH,PRC,FZ",179,147,291,49,42,63,31,35,103,64,-38,US,HK,203221000,
Hong Kong,5,203210000,"SWN CARC,FZ",0,83,35,183,474,816,0,0,0,0,,US,HK,203210000,
Malaysia,1,203294000,"SWN MT, FRZ",38,136,211,275,561,711,336,460,"14,602","22,942",57,US,MY,203294000,
Malaysia,2,203229000,"HM/SH,X PRC,FRZ",0,101,309,114,183,28,143,91,689,"1,043",52,US,MY,203229000,
Malaysia,3,203292000,"SWN MT,NE,PRC,FZ",0,0,0,21,49,307,0,109,424,71,-83,US,MY,203292000,
Malaysia,4,203210000,"SWN CARC,FZ",0,0,0,0,0,0,0,67,0,0,,US,MY,203210000,
Malaysia,5,203221000,"HM,SH,PRC,FZ",0,0,0,0,0,0,53,19,0,0,,US,MY,203221000,
Cuba,1,203294000,"SWN MT, FRZ",0,0,0,0,0,0,0,22,"4,031","18,942",370,US,CU,203294000,
Cuba,2,203292000,"SWN MT,NE,PRC,FZ",0,0,0,0,0,0,0,0,"2,116","2,554",21,US,CU,203292000,
Cuba,3,203229000,"HM/SH,X PRC,FRZ",0,0,0,0,0,0,0,0,665,"2,131",221,US,CU,203229000,
Cuba,4,203221000,"HM,SH,PRC,FZ",0,0,0,0,0,0,0,29,72,92,27,US,CU,203221000,
Taiwan,1,203294000,"SWN MT, FRZ","19,536","10,530","19,242","24,248","26,196","41,780","9,340","7,793","40,210","15,895",-60,US,TW,203294000,
Taiwan,2,203229000,"HM/SH,X PRC,FRZ","2,340","1,967","1,247","1,452","1,062",732,161,205,"3,802","1,731",-54,US,TW,203229000,
Taiwan,3,203210000,"SWN CARC,FZ",0,93,6,11,6,0,13,102,177,544,208,US,TW,203210000,
Taiwan,4,203292000,"SWN MT,NE,PRC,FZ","3,112",482,"2,154","2,595","2,149","1,720",593,390,926,403,-56,US,TW,203292000,
Taiwan,5,203221000,"HM,SH,PRC,FZ",0,"1,186",493,0,0,0,0,0,0,0,,US,TW,203221000,
"Bahamas, The",1,203294000,"SWN MT, FRZ","5,541","6,615","7,588","5,974","4,875","5,390","5,921","7,213","6,816","6,713",-2,US,BF,203294000,
"Bahamas, The",2,203229000,"HM/SH,X PRC,FRZ",620,"1,776","1,297","1,297","2,048","1,848","2,889","3,125","2,892","3,259",13,US,BF,203229000,
"Bahamas, The",3,203292000,"SWN MT,NE,PRC,FZ","1,688","1,842","2,480","1,567","1,940","1,181","1,928","2,279","3,314","2,838",-14,US,BF,203292000,
"Bahamas, The",4,203221000,"HM,SH,PRC,FZ",190,73,59,57,283,314,129,211,152,193,27,US,BF,203221000,
"Bahamas, The",5,203210000,"SWN CARC,FZ",0,24,20,7,23,17,16,13,16,40,155,US,BF,203210000,
Leeward-Windward Islands(*),1,203294000,"SWN MT, FRZ","2,218","2,560","2,778","2,999","3,393","2,520","3,386","4,705","4,103","5,012",22,US,Y1,203294000,
Leeward-Windward Islands(*),2,203292000,"SWN MT,NE,PRC,FZ",190,301,505,673,926,"1,066","1,174","1,888","2,427","2,140",-12,US,Y1,203292000,
Leeward-Windward Islands(*),3,203229000,"HM/SH,X PRC,FRZ",364,467,573,568,726,652,"1,091","1,190","1,363","1,883",38,US,Y1,203229000,
Leeward-Windward Islands(*),4,203221000,"HM,SH,PRC,FZ",238,264,225,315,540,242,455,312,398,471,18,US,Y1,203221000,
Leeward-Windward Islands(*),5,203210000,"SWN CARC,FZ",9,5,15,8,64,7,45,42,48,55,15,US,Y1,203210000,
Trinidad and Tobago,1,203294000,"SWN MT, FRZ","4,222","3,894","3,758","3,528","4,488","4,212","4,558","4,158","5,113","6,864",34,US,TD,203294000,
Trinidad and Tobago,2,203229000,"HM/SH,X PRC,FRZ",791,773,869,"1,019","1,443","1,657",815,388,944,"1,082",15,US,TD,203229000,
Trinidad and Tobago,3,203292000,"SWN MT,NE,PRC,FZ",511,370,420,124,188,373,182,436,595,727,22,US,TD,203292000,
Trinidad and Tobago,4,203221000,"HM,SH,PRC,FZ",510,186,158,192,142,18,86,169,281,350,25,US,TD,203221000,
Trinidad and Tobago,5,203210000,"SWN CARC,FZ",106,122,0,28,0,5,0,12,0,154,,US,TD,203210000,
Vietnam,1,203294000,"SWN MT, FRZ","1,944","2,110","1,816","2,818","5,379","32,046","8,827","4,919","6,154","6,775",10,US,VM,203294000,
