Partner,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Grand Total,4029593.0,4198982.0,4558394.0,4589849.0,5204063.0,5976589.0,5941770.0,5408546.0,6013503.0,6504600.0
Mexico,922387.0,1020124.0,1154068.0,1005813.0,966811.0,913713.0,1346440.0,1700763.0,1946612.0,2173530.0
Japan,1487611.0,1475405.0,1534174.0,1537099.0,1440658.0,1499221.0,1494058.0,1217911.0,1258956.0,1230127.0
"Korea, South",428947.0,324985.0,423620.0,595202.0,528972.0,402728.0,507847.0,562999.0,598027.0,692700.0
Canada,374563.0,380985.0,379017.0,339666.0,385960.0,481040.0,485180.0,389066.0,446944.0,430545.0
China,173358.0,329805.0,237191.0,199088.0,853118.0,1647814.0,884787.0,521838.0,386267.0,346575.0
Colombia,85505.0,89969.0,143341.0,199503.0,203085.0,132034.0,243851.0,226542.0,251713.0,339783.0
Australia(*),140173.0,150038.0,173761.0,184080.0,265633.0,225185.0,169887.0,101358.0,216360.0,292488.0
Dominican Republic,46431.0,47571.0,61221.0,79585.0,65796.0,85745.0,142648.0,220889.0,257406.0,259866.0
Honduras,40982.0,45548.0,51884.0,54506.0,62236.0,70022.0,108331.0,99620.0,118480.0,136827.0
