Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Mexico,1,203129000,"HM/SH X PC,FR,CH","458,514","443,633","487,625","433,382","452,314","426,906","525,953","619,837","785,787","1,074,536",37,US,MX,203129000,
Mexico,2,203121000,"HM,SH,PRC,FR,CH","153,952","239,552","289,620","247,773","233,826","227,730","464,958","596,574","660,088","521,555",-21,US,MX,203121000,
Mexico,3,203194000,"SWN MT,FR/CH","103,605","122,405","190,166","165,476","124,223","105,580","165,183","282,097","218,110","237,685",9,US,MX,203194000,
Mexico,4,203192000,"SWN MT,PRC,FR,CH","12,017","18,351","20,860","18,292","15,795","17,995","37,576","37,793","85,023","117,455",38,US,MX,203192000,
Mexico,5,203110000,"SWN CRC,FR,CH","10,156","20,595","6,899","8,817","8,934","7,743","10,500","10,790","11,180","13,402",20,US,MX,203110000,
Japan,1,203194000,"SWN MT,FR/CH","891,173","959,149","982,528","960,549","924,954","940,660","925,453","760,082","607,476","504,454",-17,US,JA,203194000,
Japan,2,203192000,"SWN MT,PRC,FR,CH","6,896","8,883","19,634","21,790","15,520","52,242","92,211","105,868","195,557","188,604",-4,US,JA,203192000,
Japan,3,203121000,"HM,SH,PRC,FR,CH","1,384","1,327","1,493",874,717,488,464,17,418,764,83,US,JA,203121000,
Japan,4,203129000,"HM/SH X PC,FR,CH","6,720","23,323","25,980","36,034","34,216","23,275","42,088","22,418",572,464,-19,US,JA,203129000,
Japan,5,203110000,"SWN CRC,FR,CH",0,0,145,82,92,246,370,569,0,0,,US,JA,203110000,
Canada,1,203192000,"SWN MT,PRC,FR,CH","340,696","348,329","341,643","297,889","334,414","404,840","424,127","340,476","373,420","379,478",2,US,CA,203192000,
Canada,2,203121000,"HM,SH,PRC,FR,CH","2,071","1,780","4,300","7,908","7,252","19,435","11,853","6,717","29,012","20,507",-29,US,CA,203121000,
"Korea, South",1,203194000,"SWN MT,FR/CH","23,001","16,818","14,199","16,538","22,882","27,011","41,901","46,544","45,523","46,905",3,US,KS,203194000,
"Korea, South",2,203192000,"SWN MT,PRC,FR,CH",401,"1,937","1,831","2,001","2,085","2,804","18,503","15,449","11,448","3,641",-68,US,KS,203192000,
"Korea, South",3,203121000,"HM,SH,PRC,FR,CH",777,321,0,0,0,41,319,16,684,"1,052",54,US,KS,203121000,
"Korea, South",4,203129000,"HM/SH X PC,FR,CH",772,190,72,295,"1,315",119,"2,649","1,007",392,309,-21,US,KS,203129000,
"Korea, South",5,203110000,"SWN CRC,FR,CH",174,435,132,"1,599",456,28,147,186,195,33,-83,US,KS,203110000,
Dominican Republic,1,203129000,"HM/SH X PC,FR,CH",206,181,772,878,"1,046",761,"2,052","2,378","6,972","8,206",18,US,DR,203129000,
Dominican Republic,2,203194000,"SWN MT,FR/CH",49,332,321,304,339,261,558,"4,276","4,930","7,870",60,US,DR,203194000,
Dominican Republic,3,203192000,"SWN MT,PRC,FR,CH",537,322,79,"4,569",497,"2,313","3,031","1,049","4,543",577,-87,US,DR,203192000,
Dominican Republic,4,203121000,"HM,SH,PRC,FR,CH",213,55,263,855,685,440,109,194,230,245,6,US,DR,203121000,
Dominican Republic,5,203110000,"SWN CRC,FR,CH",0,10,0,0,8,177,191,69,87,45,-48,US,DR,203110000,
Colombia,1,203192000,"SWN MT,PRC,FR,CH","1,058","2,363",511,378,310,125,195,243,"5,040","8,901",77,US,CO,203192000,
Colombia,2,203129000,"HM/SH X PC,FR,CH","1,824",33,106,827,"4,931","2,308","4,169","2,556",356,"1,622",355,US,CO,203129000,
Colombia,3,203194000,"SWN MT,FR/CH","9,210","6,222",269,"1,614","6,996",932,"1,039",207,894,658,-26,US,CO,203194000,
Colombia,4,203121000,"HM,SH,PRC,FR,CH",0,0,105,180,85,96,3,70,71,125,75,US,CO,203121000,
Colombia,5,203110000,"SWN CRC,FR,CH",253,0,350,"1,831","1,521","1,457",844,312,22,70,212,US,CO,203110000,
