Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
China,1,206490030,"SWN OFL,FZ,FEET","86,067","129,103","149,678","84,025","139,356","271,547","401,778","472,991","410,273","366,145",-11,US,CH,206490030,
China,2,206490090,"SWN OFL,FZ,OTHER","28,347","24,116","31,284","17,940","23,696","82,959","107,434","157,732","191,316","129,680",-32,US,CH,206490090,
China,3,206490010,"SWN OFL,FZ,TNGUE","12,061","10,218","7,290","3,884","9,063","15,351","14,149","26,958","81,463","85,760",5,US,CH,206490010,
China,4,206490050,"SWN OFL,FZ,RIND","3,338","10,208","7,376","5,478","1,881","1,030","1,001","4,338","14,439","7,761",-46,US,CH,206490050,
China,5,206490020,"SWN OFL,FZ,HEART","6,563","8,649","8,657","5,948","8,190","7,546","5,863","1,989","2,384","2,229",-6,US,CH,206490020,
China,6,206490040,"SWN OFL,FZ,HDMT","8,858","62,866","46,351","13,234","59,771","67,659","108,517","31,958","1,145","1,835",60,US,CH,206490040,
China,7,206410000,"SWN LVR,ED,FZ",0,26,0,0,0,0,0,100,176,213,21,US,CH,206410000,
Mexico,1,206490090,"SWN OFL,FZ,OTHER","72,818","107,857","93,527","66,083","62,680","44,748","41,098","32,129","34,964","35,470",1,US,MX,206490090,
Mexico,2,206490010,"SWN OFL,FZ,TNGUE","8,195","8,747","12,969","10,948","11,609","10,320","20,829","19,086","28,270","30,746",9,US,MX,206490010,
Mexico,3,206490030,"SWN OFL,FZ,FEET","12,693","11,392","11,727","11,316","8,378","6,397","7,755","4,675","5,792","7,734",34,US,MX,206490030,
Mexico,4,206490050,"SWN OFL,FZ,RIND","16,254","11,483","11,675","9,846","7,433","7,043","6,441","1,739","5,598","6,312",13,US,MX,206490050,
Mexico,5,206490020,"SWN OFL,FZ,HEART","1,597","1,467",837,760,"1,228","1,206",591,545,"2,162","1,823",-16,US,MX,206490020,
Mexico,6,206490040,"SWN OFL,FZ,HDMT","1,539","2,293",361,348,295,165,541,432,"1,041",846,-19,US,MX,206490040,
Mexico,7,206410000,"SWN LVR,ED,FZ",266,12,823,42,141,304,"1,164",277,379,700,85,US,MX,206410000,
Philippines,1,206490090,"SWN OFL,FZ,OTHER","11,388","12,769","13,471","14,888","10,047","12,794","19,856","19,421","16,300","28,667",76,US,RP,206490090,
Philippines,2,206490050,"SWN OFL,FZ,RIND",0,0,0,122,22,22,800,"2,014","6,381","8,600",35,US,RP,206490050,
Philippines,3,206490010,"SWN OFL,FZ,TNGUE",851,34,30,"1,354",226,761,"1,227",610,"2,467","7,347",198,US,RP,206490010,
Philippines,4,206490030,"SWN OFL,FZ,FEET",587,"1,736","1,689","5,363","1,875","1,630",776,996,"1,004","6,231",520,US,RP,206490030,
Philippines,5,206490040,"SWN OFL,FZ,HDMT",416,147,"1,217","1,941",564,277,912,715,744,"2,818",279,US,RP,206490040,
Philippines,6,206410000,"SWN LVR,ED,FZ",0,0,0,0,0,0,0,155,"2,750",604,-78,US,RP,206410000,
Philippines,7,206490020,"SWN OFL,FZ,HEART",0,0,0,36,16,0,23,41,225,275,22,US,RP,206490020,
Canada,1,206490090,"SWN OFL,FZ,OTHER","9,500","8,654","11,031","11,146","12,878","14,208","18,406","16,318","14,507","17,020",17,US,CA,206490090,
Canada,2,206410000,"SWN LVR,ED,FZ",3,0,0,11,3,0,61,62,67,106,58,US,CA,206410000,
Japan,1,206490090,"SWN OFL,FZ,OTHER","12,923","15,632","16,501","15,043","7,518","7,609","6,294","6,603","8,202","8,462",3,US,JA,206490090,
Japan,2,206490010,"SWN OFL,FZ,TNGUE","5,416","4,590","10,161","16,284","15,585","6,833","12,490","22,736","8,778","6,685",-24,US,JA,206490010,
Japan,3,206490040,"SWN OFL,FZ,HDMT","2,246",980,433,"1,134",599,111,411,348,241,401,67,US,JA,206490040,
Japan,4,206490030,"SWN OFL,FZ,FEET",0,249,504,558,279,233,75,206,54,162,199,US,JA,206490030,
Japan,5,206410000,"SWN LVR,ED,FZ",18,160,32,37,37,28,35,90,8,0,,US,JA,206410000,
Japan,6,206490020,"SWN OFL,FZ,HEART",6,57,0,66,0,0,0,34,110,0,,US,JA,206490020,
Japan,7,206490050,"SWN OFL,FZ,RIND",52,917,186,336,0,0,76,619,0,0,,US,JA,206490050,
"Korea, South",1,206490030,"SWN OFL,FZ,FEET","9,710","7,725","10,650","13,772","6,891","3,961","7,013","5,029","2,612","5,656",117,US,KS,206490030,
"Korea, South",2,206490090,"SWN OFL,FZ,OTHER","8,323","5,389","5,590","9,333","6,601","7,291","6,308","6,637","4,832","5,049",4,US,KS,206490090,
"Korea, South",3,206490010,"SWN OFL,FZ,TNGUE",58,269,535,644,757,143,929,969,"1,073",598,-44,US,KS,206490010,
"Korea, South",4,206490040,"SWN OFL,FZ,HDMT",415,26,0,53,0,109,292,56,57,112,95,US,KS,206490040,
"Korea, South",5,206490020,"SWN OFL,FZ,HEART",20,38,308,625,240,0,0,0,0,0,,US,KS,206490020,
"Korea, South",6,206490050,"SWN OFL,FZ,RIND",56,0,0,188,0,0,12,0,0,0,,US,KS,206490050,
Colombia,1,206490030,"SWN OFL,FZ,FEET",409,241,337,436,615,107,440,"2,403","6,252","3,965",-37,US,CO,206490030,
Colombia,2,206490090,"SWN OFL,FZ,OTHER","1,734","3,634","6,039","1,860","3,890","9,035","5,579","10,002","3,395","2,603",-23,US,CO,206490090,
Colombia,3,206490010,"SWN OFL,FZ,TNGUE",0,0,79,169,0,0,321,0,0,86,,US,CO,206490010,
Colombia,4,206410000,"SWN LVR,ED,FZ",100,0,0,0,0,0,0,0,0,0,,US,CO,206410000,
Colombia,5,206490020,"SWN OFL,FZ,HEART",55,274,484,249,251,98,115,140,141,0,,US,CO,206490020,
Colombia,6,206490040,"SWN OFL,FZ,HDMT",247,0,94,37,102,0,0,0,0,0,,US,CO,206490040,
Colombia,7,206490050,"SWN OFL,FZ,RIND",411,80,160,229,0,0,486,0,0,0,,US,CO,206490050,
Dominican Republic,1,206490090,"SWN OFL,FZ,OTHER",14,576,589,406,964,233,227,"2,283","5,076","2,392",-53,US,DR,206490090,
Dominican Republic,2,206490030,"SWN OFL,FZ,FEET",642,540,401,792,576,236,180,476,"1,253","2,352",88,US,DR,206490030,
Dominican Republic,3,206490010,"SWN OFL,FZ,TNGUE",0,0,0,126,83,0,189,75,212,815,285,US,DR,206490010,
Dominican Republic,4,206490040,"SWN OFL,FZ,HDMT",0,93,0,0,14,0,0,80,313,75,-76,US,DR,206490040,
Dominican Republic,5,206410000,"SWN LVR,ED,FZ",0,0,0,0,0,0,0,0,168,0,,US,DR,206410000,
Dominican Republic,6,206490020,"SWN OFL,FZ,HEART",23,48,21,0,0,98,0,0,11,0,,US,DR,206490020,
Dominican Republic,7,206490050,"SWN OFL,FZ,RIND",99,39,3,54,336,80,719,694,90,0,,US,DR,206490050,
Honduras,1,206490090,"SWN OFL,FZ,OTHER",245,52,3,"1,226","1,413","1,772","2,667","2,215","2,729","2,877",5,US,HO,206490090,
Honduras,2,206490030,"SWN OFL,FZ,FEET",211,213,249,176,180,104,385,666,326,678,108,US,HO,206490030,
Honduras,3,206490050,"SWN OFL,FZ,RIND",28,316,250,602,443,132,481,293,400,486,22,US,HO,206490050,
Honduras,4,206490010,"SWN OFL,FZ,TNGUE",99,66,0,26,155,55,26,14,38,218,474,US,HO,206490010,
