"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"0203","Meat of swine, fresh, chilled or frozen","302","Denmark","425,353,816",
"0203","Meat of swine, fresh, chilled or frozen","303","United Kingdom","142,619,822",
"0203","Meat of swine, fresh, chilled or frozen","304","Germany","668,873,740",
"0203","Meat of swine, fresh, chilled or frozen","305","France","197,398,309",
"0203","Meat of swine, fresh, chilled or frozen","306","Ireland","113,504,149",
"0203","Meat of swine, fresh, chilled or frozen","307","Italy","6,813",
"0203","Meat of swine, fresh, chilled or frozen","309","Netherlands","363,154,414",
"0203","Meat of swine, fresh, chilled or frozen","311","Portugal","7,629,334",
"0203","Meat of swine, fresh, chilled or frozen","312","Spain","907,925,453",
"0203","Meat of swine, fresh, chilled or frozen","315","Austria","20,970,694",
"0203","Meat of swine, fresh, chilled or frozen","318","Finland","11,969,841",
"0203","Meat of swine, fresh, chilled or frozen","402","Argentina","3,035,604",
"0203","Meat of swine, fresh, chilled or frozen","410","Brazil","606,545,872",
"0203","Meat of swine, fresh, chilled or frozen","412","Chile","177,814,782",
"0203","Meat of swine, fresh, chilled or frozen","429","Mexico","37,457,411",
"0203","Meat of swine, fresh, chilled or frozen","501","Canada","317,730,938",
"0203","Meat of swine, fresh, chilled or frozen","502","United States","506,521,958",
