Partner,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Korea, South",20.5,15.6,19.1,24.8,16.9,10.1,14.2,19.8,18.4,19.3
Japan,29.5,24.7,23.7,22.4,15.7,13.1,13.8,13.0,15.5,16.1
China,8.7,16.9,11.1,8.6,28.6,44.8,28.2,20.7,13.1,10.3
Colombia,3.7,4.2,6.7,8.4,6.4,3.5,7.6,8.9,8.4,9.9
Australia(*),6.9,7.4,8.1,7.9,8.8,6.0,5.4,4.0,7.4,8.8
Dominican Republic,2.3,2.4,2.8,3.2,2.1,2.2,4.4,8.4,8.2,7.3
Mexico,9.3,9.0,7.5,5.7,4.4,3.5,4.5,6.1,6.4,6.3
Honduras,2.0,2.3,2.4,2.3,2.1,1.9,3.4,3.9,4.0,4.1
Guatemala,1.1,1.3,1.3,1.3,1.1,0.9,2.0,1.9,2.4,2.3
Nicaragua,0.3,0.5,0.6,0.6,0.6,0.6,1.0,1.1,1.3,1.7
