Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
China,1,,"Variety Meats, Pork","145,238","245,187","250,947","130,794","243,093","446,388","639,544","697,298","710,188","646,642",-9,US,CH,0619AT,
China,1.1,206490030,"SWN OFL,FZ,FEET","86,067","129,103","149,678","84,025","139,356","271,547","401,778","472,991","410,273","366,145",-11,US,CH,206490030,
China,1.2,206490090,"SWN OFL,FZ,OTHER","28,347","24,116","31,284","17,940","23,696","82,959","107,434","157,732","191,316","129,680",-32,US,CH,206490090,
China,1.3,206490010,"SWN OFL,FZ,TNGUE","12,061","10,218","7,290","3,884","9,063","15,351","14,149","26,958","81,463","85,760",5,US,CH,206490010,
China,1.4,1602491000,"SWN OFF,PRP,PRES",5,0,0,284,780,82,0,0,"5,385","51,470",856,US,CH,1602491000,
China,1.5,206490050,"SWN OFL,FZ,RIND","3,338","10,208","7,376","5,478","1,881","1,030","1,001","4,338","14,439","7,761",-46,US,CH,206490050,
China,1.6,206490020,"SWN OFL,FZ,HEART","6,563","8,649","8,657","5,948","8,190","7,546","5,863","1,989","2,384","2,229",-6,US,CH,206490020,
China,1.7,206490040,"SWN OFL,FZ,HDMT","8,858","62,866","46,351","13,234","59,771","67,659","108,517","31,958","1,145","1,835",60,US,CH,206490040,
China,1.8,504000080,"PK INT,FZ,X SSGC",0,0,310,0,0,0,802,"1,231","3,609","1,549",-57,US,CH,504000080,
China,1.9,206410000,"SWN LVR,ED,FZ",0,26,0,0,0,0,0,100,176,213,21,US,CH,206410000,
China,1.10,206300000,"SWN OFL,ED,FR,CH",0,0,0,0,356,214,0,0,0,0,,US,CH,206300000,
Mexico,1,,"Variety Meats, Pork","168,410","187,676","191,422","152,033","148,532","123,093","172,612","167,518","220,348","214,471",-3,US,MX,0619AT,
Mexico,1.1,206300000,"SWN OFL,ED,FR,CH","52,568","34,226","46,078","41,076","44,185","45,216","75,207","93,297","122,896","112,987",-8,US,MX,206300000,
Mexico,1.2,206490090,"SWN OFL,FZ,OTHER","72,818","107,857","93,527","66,083","62,680","44,748","41,098","32,129","34,964","35,470",1,US,MX,206490090,
Mexico,1.3,206490010,"SWN OFL,FZ,TNGUE","8,195","8,747","12,969","10,948","11,609","10,320","20,829","19,086","28,270","30,746",9,US,MX,206490010,
Mexico,1.4,1602491000,"SWN OFF,PRP,PRES","1,095","6,890","9,931","9,476","10,241","6,817","15,853","11,116","13,300","13,546",2,US,MX,1602491000,
Mexico,1.5,206490030,"SWN OFL,FZ,FEET","12,693","11,392","11,727","11,316","8,378","6,397","7,755","4,675","5,792","7,734",34,US,MX,206490030,
Mexico,1.6,206490050,"SWN OFL,FZ,RIND","16,254","11,483","11,675","9,846","7,433","7,043","6,441","1,739","5,598","6,312",13,US,MX,206490050,
Mexico,1.7,504000080,"PK INT,FZ,X SSGC","1,385","3,309","3,493","2,138","2,343",878,"3,134","4,221","5,947","4,309",-28,US,MX,504000080,
Mexico,1.8,206490020,"SWN OFL,FZ,HEART","1,597","1,467",837,760,"1,228","1,206",591,545,"2,162","1,823",-16,US,MX,206490020,
Mexico,1.9,206490040,"SWN OFL,FZ,HDMT","1,539","2,293",361,348,295,165,541,432,"1,041",846,-19,US,MX,206490040,
Mexico,1.10,206410000,"SWN LVR,ED,FZ",266,12,823,42,141,304,"1,164",277,379,700,85,US,MX,206410000,
Philippines,1,,"Variety Meats, Pork","15,606","14,971","16,408","23,776","12,749","15,696","23,618","24,101","29,871","54,541",83,US,RP,0619AT,
Philippines,1.1,206490090,"SWN OFL,FZ,OTHER","11,388","12,769","13,471","14,888","10,047","12,794","19,856","19,421","16,300","28,667",76,US,RP,206490090,
Philippines,1.2,206490050,"SWN OFL,FZ,RIND",0,0,0,122,22,22,800,"2,014","6,381","8,600",35,US,RP,206490050,
Philippines,1.3,206490010,"SWN OFL,FZ,TNGUE",851,34,30,"1,354",226,761,"1,227",610,"2,467","7,347",198,US,RP,206490010,
Philippines,1.4,206490030,"SWN OFL,FZ,FEET",587,"1,736","1,689","5,363","1,875","1,630",776,996,"1,004","6,231",520,US,RP,206490030,
Philippines,1.5,206490040,"SWN OFL,FZ,HDMT",416,147,"1,217","1,941",564,277,912,715,744,"2,818",279,US,RP,206490040,
Philippines,1.6,206410000,"SWN LVR,ED,FZ",0,0,0,0,0,0,0,155,"2,750",604,-78,US,RP,206410000,
Philippines,1.7,206490020,"SWN OFL,FZ,HEART",0,0,0,36,16,0,23,41,225,275,22,US,RP,206490020,
Philippines,1.8,206300000,"SWN OFL,ED,FR,CH",177,0,0,0,0,213,0,0,0,0,,US,RP,206300000,
Philippines,1.9,504000080,"PK INT,FZ,X SSGC","2,185",285,0,0,0,0,23,0,0,0,,US,RP,504000080,
Philippines,1.10,1602491000,"SWN OFF,PRP,PRES",0,0,0,72,0,0,0,148,0,0,,US,RP,1602491000,
Canada,1,,"Variety Meats, Pork","11,881","14,373","18,702","17,391","18,173","19,500","22,386","20,020","22,791","25,902",14,US,CA,0619AT,
Canada,1.1,206490090,"SWN OFL,FZ,OTHER","9,500","8,654","11,031","11,146","12,878","14,208","18,406","16,318","14,507","17,020",17,US,CA,206490090,
Canada,1.2,206300000,"SWN OFL,ED,FR,CH","2,378","5,719","7,671","6,234","5,292","5,292","3,919","3,640","8,216","8,776",7,US,CA,206300000,
Canada,1.3,206410000,"SWN LVR,ED,FZ",3,0,0,11,3,0,61,62,67,106,58,US,CA,206410000,
"Korea, South",1,,"Variety Meats, Pork","21,133","13,875","18,120","26,262","17,067","11,844","15,894","16,923","14,033","16,698",19,US,KS,0619AT,
"Korea, South",1.1,206490030,"SWN OFL,FZ,FEET","9,710","7,725","10,650","13,772","6,891","3,961","7,013","5,029","2,612","5,656",117,US,KS,206490030,
"Korea, South",1.2,504000080,"PK INT,FZ,X SSGC","2,551",329,"1,037","1,647","2,512",341,"1,341","4,123","5,448","5,280",-3,US,KS,504000080,
"Korea, South",1.3,206490090,"SWN OFL,FZ,OTHER","8,323","5,389","5,590","9,333","6,601","7,291","6,308","6,637","4,832","5,049",4,US,KS,206490090,
"Korea, South",1.4,206490010,"SWN OFL,FZ,TNGUE",58,269,535,644,757,143,929,969,"1,073",598,-44,US,KS,206490010,
"Korea, South",1.5,206490040,"SWN OFL,FZ,HDMT",415,26,0,53,0,109,292,56,57,112,95,US,KS,206490040,
"Korea, South",1.6,1602491000,"SWN OFF,PRP,PRES",0,100,0,0,66,0,0,109,0,3,,US,KS,1602491000,
"Korea, South",1.7,206300000,"SWN OFL,ED,FR,CH",0,0,0,0,0,0,0,0,10,0,,US,KS,206300000,
"Korea, South",1.8,206490020,"SWN OFL,FZ,HEART",20,38,308,625,240,0,0,0,0,0,,US,KS,206490020,
"Korea, South",1.9,206490050,"SWN OFL,FZ,RIND",56,0,0,188,0,0,12,0,0,0,,US,KS,206490050,
Japan,1,,"Variety Meats, Pork","21,762","23,330","28,546","34,028","24,578","15,549","19,744","32,195","18,376","16,455",-10,US,JA,0619AT,
Japan,1.1,206490090,"SWN OFL,FZ,OTHER","12,923","15,632","16,501","15,043","7,518","7,609","6,294","6,603","8,202","8,462",3,US,JA,206490090,
Japan,1.2,206490010,"SWN OFL,FZ,TNGUE","5,416","4,590","10,161","16,284","15,585","6,833","12,490","22,736","8,778","6,685",-24,US,JA,206490010,
Japan,1.3,1602491000,"SWN OFF,PRP,PRES",228,120,201,117,166,0,0,588,11,549,"5,065",US,JA,1602491000,
Japan,1.4,206490040,"SWN OFL,FZ,HDMT","2,246",980,433,"1,134",599,111,411,348,241,401,67,US,JA,206490040,
Japan,1.5,504000080,"PK INT,FZ,X SSGC",868,625,528,452,324,192,362,936,973,196,-80,US,JA,504000080,
