"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"020641","Livers,frozen","302","Denmark","599,318",
"020641","Livers,frozen","303","United Kingdom","163,215",
"020641","Livers,frozen","305","France","1,086,733",
"020641","Livers,frozen","306","Ireland","413,797",
"020641","Livers,frozen","309","Netherlands","1,443,268",
"020641","Livers,frozen","312","Spain","7,797,583",
"020641","Livers,frozen","331","Switzerland","3,996",
"020641","Livers,frozen","412","Chile","1,817,078",
"020641","Livers,frozen","501","Canada","351,869",
"020649","Other edible offal of swine,frozen","302","Denmark","358,378,713",
"020649","Other edible offal of swine,frozen","303","United Kingdom","105,768,775",
"020649","Other edible offal of swine,frozen","304","Germany","1,252,695",
"020649","Other edible offal of swine,frozen","305","France","225,611,609",
"020649","Other edible offal of swine,frozen","306","Ireland","61,740,934",
"020649","Other edible offal of swine,frozen","307","Italy","39,286,533",
"020649","Other edible offal of swine,frozen","309","Netherlands","283,483,275",
"020649","Other edible offal of swine,frozen","311","Portugal","2,218,997",
"020649","Other edible offal of swine,frozen","312","Spain","698,505,872",
"020649","Other edible offal of swine,frozen","318","Finland","17,969,710",
"020649","Other edible offal of swine,frozen","331","Switzerland","8,388,222",
"020649","Other edible offal of swine,frozen","410","Brazil","61,929,222",
"020649","Other edible offal of swine,frozen","412","Chile","91,878,432",
"020649","Other edible offal of swine,frozen","415","Costa Rica","179,159",
"020649","Other edible offal of swine,frozen","429","Mexico","16,040,613",
"020649","Other edible offal of swine,frozen","501","Canada","106,158,333",
"020649","Other edible offal of swine,frozen","502","United States","739,350,900",
"160249","Other, including mixtures","136","Thailand","635",
"160249","Other, including mixtures","142","China","55,688",
"160249","Other, including mixtures","302","Denmark","1,579,968",
"160249","Other, including mixtures","305","France","3,229",
"160249","Other, including mixtures","307","Italy","250,398",
"160249","Other, including mixtures","312","Spain","39,190",
