Partner,,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
China,1,"Variety Meats, Pork",,"245,187","250,947","130,794","243,093","446,388","639,544","697,298","710,188","646,642",-9,US,CH,0619AT,
Mexico,1,"Variety Meats, Pork",,"187,676","191,422","152,033","148,532","123,093","172,612","167,518","220,348","214,471",-3,US,MX,0619AT,
Philippines,1,"Variety Meats, Pork",,"14,971","16,408","23,776","12,749","15,696","23,618","24,101","29,871","54,541",83,US,RP,0619AT,
Canada,1,"Variety Meats, Pork",,"14,373","18,702","17,391","18,173","19,500","22,386","20,020","22,791","25,902",14,US,CA,0619AT,
"Korea, South",1,"Variety Meats, Pork",,"13,875","18,120","26,262","17,067","11,844","15,894","16,923","14,033","16,698",19,US,KS,0619AT,
Japan,1,"Variety Meats, Pork",,"23,330","28,546","34,028","24,578","15,549","19,744","32,195","18,376","16,455",-10,US,JA,0619AT,
Guatemala,1,"Variety Meats, Pork",,"8,292","8,251","10,466","14,964","12,747","11,073","14,498","14,035","16,396",17,US,GT,0619AT,
Colombia,1,"Variety Meats, Pork",,"4,609","7,325","3,428","5,120","9,493","8,513","13,823","11,905","7,927",-33,US,CO,0619AT,
Dominican Republic,1,"Variety Meats, Pork",,"1,447","1,184","1,403","2,187",755,"1,322","3,703","7,296","6,162",-16,US,DR,0619AT,
Honduras,1,"Variety Meats, Pork",,660,614,"2,063","2,370","2,100","3,596","3,420","3,748","4,768",27,US,HO,0619AT,
Panama,1,"Variety Meats, Pork",,"2,354","2,563","2,901","2,475","2,862",865,648,"1,973","4,374",122,US,PM,0619AT,
Taiwan,1,"Variety Meats, Pork",,"6,063","7,308","10,113","7,050","7,025","3,606","2,652","6,879","3,451",-50,US,TW,0619AT,
Leeward-Windward Islands(*),1,"Variety Meats, Pork",,"1,281","1,534",984,"1,114","1,209","1,759","1,822","2,006","2,703",35,US,Y1,0619AT,
El Salvador,1,"Variety Meats, Pork",,437,454,485,458,544,"1,653","1,538","2,812","2,311",-18,US,ES,0619AT,
