Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Mexico,1,,"Pork, Fr/Ch/Fz","922,387","1,020,124","1,154,068","1,005,813","966,811","913,713","1,346,440","1,700,763","1,946,612","2,173,530",12,US,MX,0603AT,
Mexico,1.1,203129000,"HM/SH X PC,FR,CH","458,514","443,633","487,625","433,382","452,314","426,906","525,953","619,837","785,787","1,074,536",37,US,MX,203129000,
Mexico,1.2,203121000,"HM,SH,PRC,FR,CH","153,952","239,552","289,620","247,773","233,826","227,730","464,958","596,574","660,088","521,555",-21,US,MX,203121000,
Mexico,1.3,203194000,"SWN MT,FR/CH","103,605","122,405","190,166","165,476","124,223","105,580","165,183","282,097","218,110","237,685",9,US,MX,203194000,
Mexico,1.4,203192000,"SWN MT,PRC,FR,CH","12,017","18,351","20,860","18,292","15,795","17,995","37,576","37,793","85,023","117,455",38,US,MX,203192000,
Mexico,1.5,203294000,"SWN MT, FRZ","97,551","94,346","86,483","66,567","67,855","68,558","79,633","87,375","98,215","111,077",13,US,MX,203294000,
Mexico,1.6,203292000,"SWN MT,NE,PRC,FZ","22,936","26,660","24,117","20,511","17,275","19,379","50,495","52,879","72,901","86,355",18,US,MX,203292000,
Mexico,1.7,203110000,"SWN CRC,FR,CH","10,156","20,595","6,899","8,817","8,934","7,743","10,500","10,790","11,180","13,402",20,US,MX,203110000,
Mexico,1.8,203221000,"HM,SH,PRC,FZ","7,885","6,433","5,908","3,428","3,125","2,597","5,714","8,741","10,450","7,780",-26,US,MX,203221000,
Mexico,1.9,203229000,"HM/SH,X PRC,FRZ","55,266","43,661","41,182","41,330","43,214","36,729","5,323","3,895","2,842","3,416",20,US,MX,203229000,
Mexico,1.10,203210000,"SWN CARC,FZ",505,"4,487","1,207",238,249,497,"1,105",781,"2,015",270,-87,US,MX,203210000,
Japan,1,,"Pork, Fr/Ch/Fz","1,487,611","1,475,405","1,534,174","1,537,099","1,440,658","1,499,221","1,494,058","1,217,911","1,258,956","1,230,127",-2,US,JA,0603AT,
Japan,1.1,203194000,"SWN MT,FR/CH","891,173","959,149","982,528","960,549","924,954","940,660","925,453","760,082","607,476","504,454",-17,US,JA,203194000,
Japan,1.2,203294000,"SWN MT, FRZ","466,334","405,845","428,830","415,640","358,034","389,136","374,735","296,798","428,314","496,361",16,US,JA,203294000,
Japan,1.3,203192000,"SWN MT,PRC,FR,CH","6,896","8,883","19,634","21,790","15,520","52,242","92,211","105,868","195,557","188,604",-4,US,JA,203192000,
Japan,1.4,203292000,"SWN MT,NE,PRC,FZ","109,444","74,591","73,453","101,423","106,300","91,144","56,227","28,623","23,370","39,171",68,US,JA,203292000,
Japan,1.5,203121000,"HM,SH,PRC,FR,CH","1,384","1,327","1,493",874,717,488,464,17,418,764,83,US,JA,203121000,
Japan,1.6,203129000,"HM/SH X PC,FR,CH","6,720","23,323","25,980","36,034","34,216","23,275","42,088","22,418",572,464,-19,US,JA,203129000,
Japan,1.7,203229000,"HM/SH,X PRC,FRZ","4,007","1,931","1,791",627,789,"1,737","1,831","2,760","3,212",289,-91,US,JA,203229000,
Japan,1.8,203210000,"SWN CARC,FZ","1,392",68,3,30,15,0,249,0,0,12,,US,JA,203210000,
Japan,1.9,203221000,"HM,SH,PRC,FZ",262,289,317,49,20,293,430,776,38,8,-79,US,JA,203221000,
Japan,1.10,203110000,"SWN CRC,FR,CH",0,0,145,82,92,246,370,569,0,0,,US,JA,203110000,
"Korea, South",1,,"Pork, Fr/Ch/Fz","428,947","324,985","423,620","595,202","528,972","402,728","507,847","562,999","598,027","692,700",16,US,KS,0603AT,
"Korea, South",1.1,203294000,"SWN MT, FRZ","356,510","276,723","374,783","535,624","461,657","347,770","413,250","474,554","520,343","624,501",20,US,KS,203294000,
"Korea, South",1.2,203194000,"SWN MT,FR/CH","23,001","16,818","14,199","16,538","22,882","27,011","41,901","46,544","45,523","46,905",3,US,KS,203194000,
"Korea, South",1.3,203292000,"SWN MT,NE,PRC,FZ","32,996","21,084","28,163","24,916","29,832","16,341","11,058","14,321","14,720","11,733",-20,US,KS,203292000,
"Korea, South",1.4,203229000,"HM/SH,X PRC,FRZ","14,011","6,487","3,580","8,096","6,542","7,151","19,095","9,967","3,965","4,262",7,US,KS,203229000,
"Korea, South",1.5,203192000,"SWN MT,PRC,FR,CH",401,"1,937","1,831","2,001","2,085","2,804","18,503","15,449","11,448","3,641",-68,US,KS,203192000,
"Korea, South",1.6,203121000,"HM,SH,PRC,FR,CH",777,321,0,0,0,41,319,16,684,"1,052",54,US,KS,203121000,
"Korea, South",1.7,203129000,"HM/SH X PC,FR,CH",772,190,72,295,"1,315",119,"2,649","1,007",392,309,-21,US,KS,203129000,
"Korea, South",1.8,203210000,"SWN CARC,FZ",197,0,11,13,547,6,355,759,526,238,-55,US,KS,203210000,
"Korea, South",1.9,203110000,"SWN CRC,FR,CH",174,435,132,"1,599",456,28,147,186,195,33,-83,US,KS,203110000,
"Korea, South",1.10,203221000,"HM,SH,PRC,FZ",110,991,850,"6,121","3,656","1,458",571,198,231,26,-89,US,KS,203221000,
Canada,1,,"Pork, Fr/Ch/Fz","374,563","380,985","379,017","339,666","385,960","481,040","485,180","389,066","446,944","430,545",-4,US,CA,0603AT,
Canada,1.1,203192000,"SWN MT,PRC,FR,CH","340,696","348,329","341,643","297,889","334,414","404,840","424,127","340,476","373,420","379,478",2,US,CA,203192000,
Canada,1.2,203294000,"SWN MT, FRZ","25,748","24,700","27,710","28,957","34,433","46,435","46,044","36,089","36,323","24,998",-31,US,CA,203294000,
Canada,1.3,203121000,"HM,SH,PRC,FR,CH","2,071","1,780","4,300","7,908","7,252","19,435","11,853","6,717","29,012","20,507",-29,US,CA,203121000,
Canada,1.4,203292000,"SWN MT,NE,PRC,FZ","5,947","6,163","5,312","4,739","9,502","8,910","2,433","5,284","6,677","5,254",-21,US,CA,203292000,
Canada,1.5,203229000,"HM/SH,X PRC,FRZ",87,13,52,173,360,"1,420",723,500,"1,512",274,-82,US,CA,203229000,
Canada,1.6,203210000,"SWN CARC,FZ",13,0,0,0,0,0,0,0,0,34,,US,CA,203210000,
China,1,,"Pork, Fr/Ch/Fz","173,358","329,805","237,191","199,088","853,118","1,647,814","884,787","521,838","386,267","346,575",-10,US,CH,0603AT,
China,1.1,203294000,"SWN MT, FRZ","49,375","159,582","161,358","182,066","312,581","882,320","543,920","441,155","330,941","309,480",-6,US,CH,203294000,
China,1.2,203210000,"SWN CARC,FZ","9,036","7,493","1,270",245,"447,733","400,665","50,039","40,878","29,922","25,051",-16,US,CH,203210000,
