Partner,,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Mexico,1,"Pork, Fr/Ch/Fz","922,387","1,020,124","1,154,068","1,005,813","966,811","913,713","1,346,440","1,700,763","1,946,612","2,173,530"
Japan,1,"Pork, Fr/Ch/Fz","1,487,611","1,475,405","1,534,174","1,537,099","1,440,658","1,499,221","1,494,058","1,217,911","1,258,956","1,230,127"
"Korea, South",1,"Pork, Fr/Ch/Fz","428,947","324,985","423,620","595,202","528,972","402,728","507,847","562,999","598,027","692,700"
Canada,1,"Pork, Fr/Ch/Fz","374,563","380,985","379,017","339,666","385,960","481,040","485,180","389,066","446,944","430,545"
China,1,"Pork, Fr/Ch/Fz","173,358","329,805","237,191","199,088","853,118","1,647,814","884,787","521,838","386,267","346,575"
Colombia,1,"Pork, Fr/Ch/Fz","85,505","89,969","143,341","199,503","203,085","132,034","243,851","226,542","251,713","339,783"
Australia(*),1,"Pork, Fr/Ch/Fz","140,173","150,038","173,761","184,080","265,633","225,185","169,887","101,358","216,360","292,488"
Dominican Republic,1,"Pork, Fr/Ch/Fz","46,431","47,571","61,221","79,585","65,796","85,745","142,648","220,889","257,406","259,866"
Honduras,1,"Pork, Fr/Ch/Fz","40,982","45,548","51,884","54,506","62,236","70,022","108,331","99,620","118,480","136,827"
Guatemala,1,"Pork, Fr/Ch/Fz","28,389","29,971","34,063","34,605","39,027","36,343","67,808","56,534","76,684","85,299"
Costa Rica,1,"Pork, Fr/Ch/Fz","8,483","9,911","10,712","12,304","17,083","17,416","35,148","26,161","35,629","59,473"
Nicaragua,1,"Pork, Fr/Ch/Fz","6,624","10,147","13,201","14,843","18,343","23,871","31,256","27,151","39,653","58,424"
El Salvador,1,"Pork, Fr/Ch/Fz","7,010","8,858","11,764","15,867","16,248","17,925","34,538","33,701","42,135","52,280"
Panama,1,"Pork, Fr/Ch/Fz","15,819","17,862","15,677","21,530","27,446","23,871","32,832","26,693","24,476","42,065"
Philippines,1,"Pork, Fr/Ch/Fz","27,382","29,363","39,434","42,556","41,725","51,524","128,501","33,254","55,894","41,849"
New Zealand(*),1,"Pork, Fr/Ch/Fz","12,624","12,884","14,011","17,028","22,714","29,271","29,849","13,017","27,154","37,599"
Chile,1,"Pork, Fr/Ch/Fz","30,664","41,283","63,941","66,187","85,222","99,085","73,497","32,098","38,489","31,345"
Hong Kong,1,"Pork, Fr/Ch/Fz","96,658","92,048","86,843","45,632","43,726","50,143","31,214","26,688","26,533","26,533"
Cuba,1,"Pork, Fr/Ch/Fz",0,0,0,0,0,0,0,145,"8,565","25,880"
Malaysia,1,"Pork, Fr/Ch/Fz",38,237,520,410,964,"1,220",613,776,"15,738","24,124"
Taiwan,1,"Pork, Fr/Ch/Fz","25,293","14,372","23,278","28,505","30,339","44,646","10,107","8,490","45,919","18,639"
"Bahamas, The",1,"Pork, Fr/Ch/Fz","9,133","11,702","13,020","10,198","10,361","9,619","11,879","14,140","14,440","14,680"
Leeward-Windward Islands(*),1,"Pork, Fr/Ch/Fz","3,383","3,992","4,435","4,968","6,117","4,890","6,530","8,656","8,983","10,287"
Trinidad and Tobago,1,"Pork, Fr/Ch/Fz","6,877","6,154","5,671","5,255","6,529","6,490","5,744","5,337","7,012","9,493"
Netherlands Antilles(*),1,"Pork, Fr/Ch/Fz","2,584","4,030","4,484","4,715","5,259","3,383","4,882","6,626","7,851","7,463"
Singapore,1,"Pork, Fr/Ch/Fz","8,128","7,531","10,921","8,292","10,746","10,349","8,219","8,092","6,556","7,116"
Vietnam,1,"Pork, Fr/Ch/Fz","2,359","3,117","11,267","21,352","9,227","47,562","10,664","5,364","7,150","7,028"
Peru,1,"Pork, Fr/Ch/Fz","7,525","5,514","9,405","11,725","10,948","10,374","7,655","4,396","5,134","5,791"
United Kingdom,1,"Pork, Fr/Ch/Fz","3,963","3,640","3,544","3,563","3,298","3,361","3,956","1,101","3,561","4,611"
Cayman Islands,1,"Pork, Fr/Ch/Fz","1,055","1,038","1,131","1,069","1,252","1,153","1,780","2,592","2,794","3,027"
Indonesia,1,"Pork, Fr/Ch/Fz","1,380","1,213","1,483","2,184","2,274",514,"1,866","1,521","3,416","2,979"
Turks and Caicos Islands,1,"Pork, Fr/Ch/Fz",499,"1,109","1,003","1,269","1,097",897,"1,871","1,973","2,075","2,918"
Micronesia,1,"Pork, Fr/Ch/Fz",728,816,"1,007",889,"1,160","1,425","2,034","1,725","1,865","1,931"
Barbados,1,"Pork, Fr/Ch/Fz","1,507","1,218","1,210",974,"1,101",685,"1,177","2,048","1,487","1,841"
Bermuda,1,"Pork, Fr/Ch/Fz",583,577,480,496,891,994,"1,003","1,421","1,572","1,825"
Belize,1,"Pork, Fr/Ch/Fz",363,645,741,923,"1,079",894,"1,286","1,339","1,679","1,682"
Belgium-Luxembourg(*),1,"Pork, Fr/Ch/Fz",997,"1,424",868,449,"1,430",140,0,371,865,"1,496"
Guyana,1,"Pork, Fr/Ch/Fz",48,60,48,195,281,211,356,559,"1,410","1,443"
Haiti,1,"Pork, Fr/Ch/Fz","1,507",846,997,919,557,697,443,804,673,"1,104"
Marshall Islands,1,"Pork, Fr/Ch/Fz",439,548,496,662,655,"1,004","1,121",968,"1,082","1,067"
Ecuador,1,"Pork, Fr/Ch/Fz","4,506",543,"1,458","2,236","1,646","1,639","1,853","1,381","1,161","1,057"
French Pacific Islands(*),1,"Pork, Fr/Ch/Fz",553,427,470,937,"1,886",384,268,428,986,820
Netherlands,1,"Pork, Fr/Ch/Fz","2,526","2,580","1,573","1,838",652,"1,118","1,296","1,058","1,010",816
Macau,1,"Pork, Fr/Ch/Fz",167,105,0,120,222,0,119,318,680,708
Palau,1,"Pork, Fr/Ch/Fz",159,315,447,793,674,586,805,482,604,706
